accounts
candidates_survey_question
jb_contrat
jb_exp
liste_type_diplomes
pays
ref_social_providers
regions
rejectionfeedbacklist
secteur_acrivitees
tags
_avantages_pro
_disponibilite
_job_advert_state
_langues
_lang_niv
_user_types
email_pipe
