157,"KSIBET EL MEDIOUNI",NULL,16
158,"MOKNINE",NULL,16
159,"MONASTIR",NULL,16
160,"OUARDANINE",NULL,16
161,"SAHLINE",NULL,16
162,"SAYADA LAMTA BOUHJAR",NULL,16
163,"TEBOULBA",NULL,16
164,"ZERAMDINE",NULL,16
165,"BENI KHALLED",NULL,5
166,"BENI KHIAR",NULL,5
167,"BOU ARGOUB",NULL,5
168,"DAR CHAABANE EL FEHRI",NULL,5
169,"EL HAOUARIA",NULL,5
170,"EL MIDA",NULL,5
171,"GROMBALIA",NULL,5
172,"HAMMAM LAGHZEZ",NULL,5
173,"HAMMAMET",NULL,5
174,"KELIBIA",NULL,5
175,"KORBA",NULL,5
176,"MENZEL BOU ZELFA",NULL,5
177,"MENZEL TEMIME",NULL,5
178,"NABEUL",NULL,5
179,"SOLIMAN",NULL,5
180,"TAKELSA",NULL,5
181,"AGAREB",NULL,18
182,"BIR ALI BEN KHELIFA",NULL,18
183,"EL AMRA",NULL,18
184,"EL HENCHA",NULL,18
185,"GHERAIBA",NULL,18
186,"JEBENIANA",NULL,18
187,"KERKENAH",NULL,18
188,"MAHRES",NULL,18
189,"MENZEL CHAKER",NULL,18
190,"SAKIET EDDAYER",NULL,18
191,"SAKIET EZZIT",NULL,18
192,"SFAX MEDINA",NULL,18
193,"SFAX OUEST",NULL,18
194,"SFAX SUD",NULL,18
195,"SKHIRA",NULL,18
196,"TINA",NULL,18
197,"BIR EL HFAY",NULL,14
198,"CEBALAT OULED ASKAR",NULL,14
199,"EL HICHRIA",NULL,14
200,"ERREGUEB",NULL,14
201,"JELMA",NULL,14
202,"MAZZOUNA",NULL,14
203,"MEKNASSY",NULL,14
204,"MENZEL BOUZAYANE",NULL,14
205,"OULED HAFFOUZ",NULL,14
206,"SAIDA",NULL,14
207,"SIDI ALI BEN AOUN",NULL,14
208,"SIDI BOUZID EST",NULL,14
209,"SIDI BOUZID OUEST",NULL,14
210,"SOUK EJEDID",NULL,14	
211,"BARGOU",NULL,11
212,"BOU ROUIS",NULL,11
213,"BOUARADA",NULL,11
214,"ERROUHIA",NULL,11
215,"GAAFOUR",NULL,11
216,"KESRA",NULL,11
217,"KRIB",NULL,11
218,"LAROUSSA",NULL,11
219,"MAKTHAR",NULL,11
220,"SILIANA NORD",NULL,11
221,"SILIANA SUD",NULL,11
222,"AKOUDA",NULL,15
223,"BOUFICHA",NULL,15
224,"ENFIDHA",NULL,15
225,"HAMMAM SOUSSE",NULL,15
226,"HERGLA",NULL,15
227,"KALAA KEBIRA",NULL,15
228,"KALAA SGHIRA",NULL,15
229,"KOUNDAR",NULL,15
230,"MSAKEN",NULL,15
231,"SIDI ABDELHAMID",NULL,15
232,"SIDI BOU ALI",NULL,15
